"taxon","p_treatment_groupApcMUT_HpWT","q_treatment_groupApcMUT_HpWT","lfc_treatment_groupApcMUT_HpWT"
"[Clostridium]",0.0185520659511838,0.351504097180732,0.369742954987516
"[Ruminococcus]",0.00994036304307058,0.351504097180732,0.459861024701707
"Acetobacterium",0.0149778583958295,0.351504097180732,0.342318742543835
"Aciduricibacillus",0.0238937685649788,0.351504097180732,0.389430398703448
"Adhaeribacter",0.0244132262023115,0.351504097180732,-0.443257228988219
"Aedoeadaptatus",0.0086032061874126,0.351504097180732,0.39980868947814
"Aegicerativicinus",0.0164175079037828,0.351504097180732,-0.518003201472662
"Agathobaculum",0.00793278025277358,0.351504097180732,0.555142829071148
"Akkermansia",0.0126908891562562,0.351504097180732,0.438742670983172
"Aliisedimentitalea",0.0108851834805001,0.351504097180732,0.766952094382111
