"pathway","coef","stderr","pval","qval"
"FAO.PWY..fatty.acid..beta..oxidation.I..generic.",-0.879864778746087,0.309862880124692,0.025061501138549,0.455529638341861
"HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.hydroxypentadienoate",-2.25394662108922,0.732582539856364,0.0178978259135151,0.455529638341861
"HISDEG.PWY..L.histidine.degradation.I",-0.419567187506904,0.141937263419273,0.0212251048100036,0.455529638341861
"PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.",-3.04922258472648,0.74537491665881,0.00462596240589515,0.455529638341861
"PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.",-1.08549162656767,0.332798439722556,0.0138317125066485,0.455529638341861
"PWY.5207..coenzyme.B.coenzyme.M.regeneration.I..methanophenazine.dependent.",1.51725139482358,0.530410004071857,0.0243193051615765,0.455529638341861
"PWY.5845..superpathway.of.menaquinol.9.biosynthesis",-2.36921355999142,0.776028408919153,0.0185049127152079,0.455529638341861
"PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis",-2.4021365035278,0.787627734977082,0.0185874738018634,0.455529638341861
"PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II",-0.447882316286673,0.134286121940129,0.0125001922383863,0.455529638341861
"PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II",-0.426259550667733,0.148103478389266,0.0237152007139994,0.455529638341861
"PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III",-0.452138749501116,0.145928318121767,0.0173621231468177,0.455529638341861
"PWY.6588..pyruvate.fermentation.to.acetone",2.5395892993506,0.755378097189293,0.0120511514279507,0.455529638341861
"PWY.6690..cinnamate.and.3.hydroxycinnamate.degradation.to.2.hydroxypentadienoate",-2.25394662108922,0.732582539856364,0.0178978259135151,0.455529638341861
"PWY.6692..Fe.II..oxidation",-1.52141228046471,0.51779084345653,0.0217665515133834,0.455529638341861
"PWY.6863..pyruvate.fermentation.to.hexanol..engineered.",1.02410004983068,0.348484959706257,0.021752777720788,0.455529638341861
"PWY.6883..pyruvate.fermentation.to.butanol.II..engineered.",1.00242805337175,0.344387850045172,0.0226362330076918,0.455529638341861
"PWY.7094..fatty.acid.salvage",-1.02951588096017,0.304929411386631,0.0118191327649873,0.455529638341861
"PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I",-0.515870158251167,0.128631632779288,0.00512140523892183,0.455529638341861
"PWY.7196..superpathway.of.pyrimidine.ribonucleosides.salvage",-0.346514286325887,0.0943208225484559,0.00792450534072347,0.455529638341861
"PWY.7198..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.IV",-0.51602640146937,0.138057517576198,0.00728410432724116,0.455529638341861
"PWY.7200..superpathway.of.pyrimidine.deoxyribonucleoside.salvage",-0.320609698154426,0.112102581085965,0.024338743659076,0.455529638341861
"PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP",-0.535480325135186,0.138860615040582,0.00624177148934981,0.455529638341861
"PWY.7211..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis",-0.397300972722722,0.122552694621574,0.0142160538976689,0.455529638341861
"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II",-0.575175009642499,0.166505156572438,0.0106278433364071,0.455529638341861
"PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II",-0.575175009642499,0.166505156572438,0.0106278433364071,0.455529638341861
"PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I",-0.324533178977827,0.103578755812141,0.0165355216922319,0.455529638341861
"PWY.7269..mitochondrial.NADPH.production..yeast.",-0.683629978197685,0.150083021902311,0.00262041609415212,0.455529638341861
"PWY.7279..aerobic.respiration.II..cytochrome.c...yeast.",-0.803469246876714,0.245838276568752,0.0137067498667922,0.455529638341861
"PWY.8182..valproate..beta..oxidation",-0.685838766318827,0.226929122842081,0.0193245555666079,0.455529638341861
"PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation",-1.07264148648559,0.357332072503954,0.0198912546888582,0.455529638341861
"PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.",-0.458358443393105,0.100169009175001,0.00255631210647286,0.455529638341861
"PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage",-0.566197806360645,0.145069439126029,0.0058765627146972,0.455529638341861
"PWY66.391..fatty.acid..beta..oxidation.VI..mammalian.peroxisome.",-0.668713012218302,0.220106461532798,0.0188965518862988,0.455529638341861
"PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I",-0.715216798045549,0.134689326665663,0.0011111003496141,0.455529638341861
"PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol.",0.537530807288421,0.192585322986263,0.0268646101850609,0.474352259839076
"PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I",-0.352034189530349,0.128711264127831,0.029124736751765,0.489255617859418
"PWY.7674..CMP.8.amino.3.8.dideoxy.D.manno.octulosonate.biosynthesis",-1.598216588696,0.585190938396655,0.0292920030110008,0.489255617859418
"P161.PWY..acetylene.degradation..anaerobic.",0.623189607207093,0.240799418696475,0.0360494988914643,0.494794480758755
"P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate",0.994118463589071,0.377624159002127,0.0337866635145647,0.494794480758755
